idx,row,col,lon_deg,lat_deg,elev_m,slope_deg,seg_dist_m,cum_dist_m,seg_time_s,cum_time_s
13,15006,12017,23.471679680012443,0.6904296875330266,-1925.5691766738892,1.2020513797168675,59.2252938,794.4607393274914,76.51429209498276,1117.4814857512279
14,15005,12017,23.471679680012443,0.6923828125331201,-1926.0081052780151,1.8750381074699836,59.2252938,853.6860331274914,80.26339588340232,1197.7448816346302
15,15004,12018,23.473632805012528,0.6943359375332135,-1929.2540550231934,1.7999682619923238,83.75721372749119,937.4432468549826,120.0218476841447,1317.7667293187749
16,15003,12018,23.473632805012528,0.6962890625333071,-1930.009126663208,2.0700395916366663,59.2252938,996.6685406549826,86.95913232342518,1404.7258616422
17,15002,12018,23.473632805012528,0.6982421875334006,-1933.5194826126099,3.642119583245928,59.2252938,1055.8938344549827,102.35769404574476,1507.0835556879447
18,15001,12018,23.473632805012528,0.7001953125334941,-1937.4582767486572,2.4372963421555616,59.2252938,1115.1191282549826,106.5736641657164,1613.657219853661
19,15000,12018,23.473632805012528,0.7021484375335875,-1938.27486038208,0.2875164760623796,59.2252938,1174.3444220549825,75.8034871638059,1689.4607070174668
20,14999,12018,23.473632805012528,0.7041015625336811,-1937.0912313461304,0.6710742647722295,59.2252938,1233.5697158549824,68.4727166850442,1757.933423702511
21,14998,12018,23.473632805012528,0.7060546875337745,-1937.0098114013672,0.7912132256419547,59.2252938,1292.7950096549823,68.78200589628662,1826.7154295987975
22,14997,12018,23.473632805012528,0.708007812533868,-1936.826229095459,0.5279265143001408,59.2252938,1352.0203034549822,68.07877193400589,1894.7942015328035
23,14996,12018,23.473632805012528,0.7099609375339615,-1936.3365173339844,0.2992953086713773,59.2252938,1411.2455972549822,65.65942257685148,1960.453624109655
24,14995,12019,23.47558593001264,0.7119140625340551,-1938.256025314331,1.0707457387097148,83.75721372749119,1495.0028109824734,95.33344002120906,2055.787064130864
25,14994,12020,23.477539055012727,0.7138671875341486,-1938.277244567871,0.5255692462967737,83.75721372749119,1578.7600247099647,98.10298368993188,2153.890047820796
26,14993,12020,23.477539055012727,0.7158203125342419,-1940.1754140853882,2.5608344106387753,59.2252938,1637.9853185099646,78.49456955226216,2232.384617373058
27,14992,12020,23.477539055012727,0.7177734375343354,-1943.0938959121704,1.4405815238384918,59.2252938,1697.2106123099645,86.95765501748589,2319.342272390544
28,14991,12020,23.477539055012727,0.719726562534429,-1942.8900480270386,1.226664824983495,59.2252938,1756.4359061099644,77.9797615689606,2397.3220339595046
29,14990,12021,23.479492180012812,0.7216796875345225,-1940.8501386642456,0.6730505248027906,83.75721372749119,1840.1931198374557,107.47408476254928,2504.796118722054
30,14989,12022,23.481445305012898,0.723632812534616,-1944.381833076477,1.3239633909426285,83.75721372749119,1923.950333564947,101.20103042568468,2605.9971491477386
31,14988,12022,23.481445305012898,0.7255859375347056,-1945.7082748413086,0.9493007060947039,59.2252938,1983.1756273649469,73.95849946740412,2679.9556486151428
32,14987,12022,23.481445305012898,0.7275390625347992,-1946.3411569595337,0.3539067615503476,59.2252938,2042.4009211649468,67.2060391951179,2747.1616878102604
33,14986,12023,23.48339843001301,0.7294921875348926,-1947.6290941238403,2.199767449614809,83.75721372749119,2126.158134892438,105.98302068733499,2853.1447084975953
34,14985,12024,23.485351555013068,0.7314453125349861,-1950.688123703003,0.669123593024418,83.75721372749119,2209.915348619929,109.4934295313601,2962.6381380289554
35,14984,12024,23.485351555013068,0.7333984375350796,-1949.8311281204224,1.3106944792042954,59.2252938,2269.140642419929,74.69768476736769,3037.335822796323
36,14983,12024,23.485351555013068,0.7353515625351731,-1951.551079750061,1.0881339089726656,59.2252938,2328.365936219929,74.8280294881409,3112.163852284464
37,14982,12024,23.485351555013068,0.7373046875352666,-1950.1055479049683,0.9178814267747307,59.2252938,2387.5912300199293,76.92444222121722,3189.0882945056815
38,14981,12024,23.485351555013068,0.73925781253536,-1951.24351978302,0.2678309901568447,59.2252938,2446.8165238199294,66.2856291095205,3255.373923615202
39,14980,12024,23.485351555013068,0.7412109375354535,-1950.2779245376587,0.7891037358300781,59.2252938,2506.0418176199296,68.47327911199903,3323.847202727201
40,14979,12023,23.48339843001301,0.743164062535547,-1950.0495195388794,1.7085456705215711,83.75721372749119,2589.7990313474206,107.80066085761837,3431.6478635848193
41,14978,12023,23.48339843001301,0.7451171875356406,-1951.5202045440674,1.729811148178913,59.2252938,2649.0243251474208,83.11523471776296,3514.7630983025824
42,14977,12023,23.48339843001301,0.7470703125357341,-1952.4379968643188,0.46432210897482296,59.2252938,2708.249618947421,72.94323040801793,3587.7063287106002
43,14976,12023,23.48339843001301,0.7490234375358276,-1952.4800777435303,0.5339323489580075,59.2252938,2767.474912747421,65.43176438523294,3653.138093095833
44,14975,12023,23.48339843001301,0.7509765625359209,-1952.8586864471436,1.6398911475720057,59.2252938,2826.700206547421,73.06504285043506,3726.203135946268
45,14974,12023,23.48339843001301,0.7529296875360145,-1955.8600187301636,2.235494356381726,59.2252938,2885.9255003474213,86.23104857125983,3812.4341845175277
46,14973,12023,23.48339843001301,0.754882812536108,-1956.4305543899536,1.5744338168634828,59.2252938,2945.1507941474215,86.33484685019378,3898.7690313677213
47,14972,12023,23.48339843001301,0.7568359375362015,-1956.94899559021,0.7823591584798549,59.2252938,3004.3760879474216,74.60034708595275,3973.369378453674
48,14971,12023,23.48339843001301,0.758789062536295,-1957.3880434036255,0.756995213048304,59.2252938,3063.601381747422,68.9788125626776,4042.348191016352
49,14970,12024,23.485351555013068,0.7607421875363886,-1954.9676179885864,1.103797367548071,83.75721372749119,3147.358595474913,108.38022033219312,4150.728411348545
50,14969,12024,23.485351555013068,0.762695312536482,-1954.2839527130127,0.6581461261938273,59.2252938,3206.583889274913,72.6322496449843,4223.360660993529
51,14968,12024,23.485351555013068,0.7646484375365754,-1954.1330337524414,0.32956041863141433,59.2252938,3265.809183074913,65.75595021787514,4289.116611211404
52,14967,12024,23.485351555013068,0.7666015625366689,-1954.6865224838257,0.32754972280386696,59.2252938,3325.0344768749133,63.12976396610111,4352.246375177505
53,14966,12024,23.485351555013068,0.7685546875367625,-1954.7181129455566,0.9646011526544698,59.2252938,3384.2597706749134,67.25082751532382,4419.497202692829
54,14965,12024,23.485351555013068,0.770507812536856,-1953.2486200332642,1.7266523833429315,59.2252938,3443.4850644749135,82.23681276191108,4501.73401545474
55,14964,12024,23.485351555013068,0.7724609375369494,-1951.388955116272,1.810080843508413,59.2252938,3502.7103582749137,91.23940164894832,4592.973417103688
56,14963,12024,23.485351555013068,0.7744140625370429,-1949.9881267547607,2.537960800478957,59.2252938,3561.935652074914,96.79908129709959,4689.772498400787
57,14962,12024,23.485351555013068,0.7763671875371365,-1946.6736316680908,2.2931780768683683,59.2252938,3621.160945874914,110.39595448969197,4800.168452890479
58,14961,12023,23.48339843001301,0.77832031253723,-1945.7600116729736,1.23177925107213,83.75721372749119,3704.918159602405,121.76167260592487,4921.930125496404
59,14960,12022,23.481445305012898,0.7802734375373234,-1945.9768533706665,1.3917479046642622,83.75721372749119,3788.675373329896,108.8128484607239,5030.742973957128
60,14959,12022,23.481445305012898,0.7822265625374168,-1947.1606016159058,0.505337188649727,59.2252938,3847.900667129896,71.0329789364572,5101.775952893585
61,14958,12021,23.479492180012812,0.7841796875375104,-1946.955680847168,2.8452519145688284,83.75721372749119,3931.657880857387,114.65962364623601,5216.435576539821
62,14957,12021,23.479492180012812,0.7861328125376039,-1944.2414045333862,2.5910061506904807,59.2252938,3990.8831746573874,114.34561238988455,5330.781188929706
63,14956,12021,23.479492180012812,0.7880859375376974,-1943.8741207122803,1.6197734337753447,59.2252938,4050.1084684573875,91.2151747537988,5421.9963636835055
64,14955,12021,23.479492180012812,0.7900390625377909,-1945.4050064086914,1.7577475812587553,59.2252938,4109.333762257387,82.58674914438511,5504.583112827891
65,14954,12021,23.479492180012812,0.7919921875378844,-1947.5071430206299,2.1411584882866324,59.2252938,4168.559056057387,86.78473793810434,5591.367850765995
66,14953,12021,23.479492180012812,0.7939453125379778,-1947.4257230758667,2.57163707969077,59.2252938,4227.7843498573875,95.11996346959258,5686.487814235587
67,14952,12021,23.479492180012812,0.7958984375380713,-1945.7522630691528,2.3163347497199487,59.2252938,4287.009643657388,103.59194906048876,5790.079763296076
68,14951,12021,23.479492180012812,0.7978515625381648,-1945.8136558532715,1.7158286214585092,59.2252938,4346.234937457388,88.46047078742185,5878.540234083497
69,14950,12022,23.481445305012898,0.7998046875382584,-1947.3247528076172,0.635883683235445,83.75721372749119,4429.992151184879,104.969689958097,5983.509924041594
70,14949,12023,23.48339843001301,0.8017578125383519,-1949.4096040725708,0.9542519469959332,83.75721372749119,4513.74936491237,97.65718056276602,6081.16710460436
71,14948,12024,23.485351555013068,0.8037109375384454,-1950.569987297058,1.4832148567073784,83.75721372749119,4597.506578639861,106.43171762408318,6187.598822228443
72,14947,12024,23.485351555013068,0.8056640625385388,-1951.6710042953491,1.1956971466181119,59.2252938,4656.731872439861,77.10093960628251,6264.699761834726
73,14946,12024,23.485351555013068,0.8076171875386323,-1953.0065059661865,1.9316364668909616,59.2252938,4715.957166239861,80.38894893981559,6345.088710774541
74,14945,12024,23.485351555013068,0.8095703125387258,-1955.357551574707,2.562256303803752,59.2252938,4775.182460039861,91.91304054935505,6437.001751323896
75,14944,12024,23.485351555013068,0.8115234375388193,-1958.295226097107,1.7411077708471931,59.2252938,4834.4077538398615,89.87735526499841,6526.8791065888945
76,14943,12024,23.485351555013068,0.8134765625389128,-1958.6790800094604,0.5729510137061107,59.2252938,4893.633047639862,74.04342082204771,6600.922527410942
77,14942,12024,23.485351555013068,0.8154296875390062,-1958.3865404129028,0.7918823534771393,59.2252938,4952.858341439862,68.71317825264795,6669.63570566359
78,14941,12024,23.485351555013068,0.8173828125390998,-1960.0750207901,1.2632300849724514,59.2252938,5012.083635239862,72.24505105333655,6741.880756716926
79,14940,12024,23.485351555013068,0.8193359375391933,-1960.5709314346313,0.721750353179135,59.2252938,5071.308929039862,72.00303070897434,6813.883787425901
80,14939,12024,23.485351555013068,0.8212890625392868,-1960.3885412216187,1.1620250915225143,59.2252938,5130.534222839862,71.98489885587264,6885.868686281773
81,14938,12024,23.485351555013068,0.8232421875393802,-1959.317922592163,1.1839003977542575,59.2252938,5189.759516639862,78.34573196989977,6964.214418251673
82,14937,12024,23.485351555013068,0.8251953125394738,-1960.107922554016,1.6776001563556473,59.2252938,5248.9848104398625,78.54065092515361,7042.7550691768265
83,14936,12024,23.485351555013068,0.8271484375395672,-1960.8066082000732,0.6781055999408662,59.2252938,5308.210104239863,74.40893261269154,7117.164001789518
84,14935,12024,23.485351555013068,0.8291015625396607,-1960.4926109313965,0.6045085044983761,59.2252938,5367.435398039863,68.2267963156498,7185.390798105168
85,14934,12024,23.485351555013068,0.8310546875397542,-1959.6089124679565,0.4267651287833128,59.2252938,5426.660691839863,68.14382385770993,7253.534621962878
86,14933,12024,23.485351555013068,0.8330078125398478,-1959.614634513855,0.9441636369728393,59.2252938,5485.885985639863,67.8354117130594,7321.3700336759375
87,14932,12024,23.485351555013068,0.8349609375399413,-1961.115002632141,1.5637676344456368,59.2252938,5545.111279439863,75.57833478065312,7396.94836845659
88,14931,12024,23.485351555013068,0.8369140625400346,-1961.857557296753,1.5349530768982353,59.2252938,5604.336573239863,80.53663789049833,7477.4850063470885
89,14930,12024,23.485351555013068,0.8388671875401281,-1961.0775709152222,1.7168264580979224,59.2252938,5663.5618670398635,84.714419609934,7562.199425957023
90,14929,12024,23.485351555013068,0.8408203125402179,-1960.862159729004,1.6722804193643375,59.2252938,5722.787160839864,83.87623738917546,7646.075663346199
91,14928,12024,23.485351555013068,0.8427734375403113,-1959.599494934082,0.6021287861141541,59.2252938,5782.012454639864,77.97385867785981,7724.049522024058
92,14927,12025,23.48730468001318,0.8447265625404048,-1959.126591682434,1.4197255928337058,83.75721372749119,5865.769668367355,103.63596607948266,7827.685488103541
